height,D_DT_geo
65645.04,24987.47
65261.52,15975.96
64829.77,17988.33
64430.25,16649.94
63951.29,19964.29
63593.44,14919.68
63129.61,19342.24
62679.96,18755.54
62195.66,20205.66
61703.55,20536.88
61213.57,20452.79
60886.36,13661.65
60443.34,18500.20
60043.55,16698.94
59572.04,19698.97
59113.13,19177.42
58631.85,20116.91
58255.12,15750.38
57830.50,17756.29
57377.65,18941.18
56908.40,19632.11
56465.78,18522.16
56174.97,12171.84
55694.26,20124.21
55189.77,21125.08
54809.68,15919.88
54375.82,18175.44
54012.23,15234.88
