height,D_DT_geo
65237.09,24953.89
64858.06,15955.89
64431.35,17967.03
64036.44,16631.45
63563.00,19943.69
63209.23,14905.40
62750.67,19325.14
62306.09,18740.48
61827.22,20191.12
61340.57,20523.89
60856.01,20441.64
60532.38,13655.20
60094.20,18492.74
59698.74,16693.46
59232.30,19694.04
58778.29,19174.22
58302.11,20115.24
57929.35,15750.28
57509.18,17757.45
57061.03,18943.90
56596.62,19636.55
56158.53,18527.87
55870.68,12176.39
55394.82,20133.11
54895.39,21136.30
54519.08,15929.59
54089.51,18187.86
53729.49,15246.38
