height,D_DT_geo
82412.13,23038.90
81857.74,23299.65
81315.35,22801.66
80764.40,23168.39
80284.67,20179.10
79552.65,30800.91
79124.40,18025.05
78592.77,22382.10
78033.20,23564.67
77507.49,22145.72
76970.53,22625.40
76425.70,22963.96
75873.01,23302.05
75336.85,22611.72
74813.65,22071.44
74263.18,23228.44
73704.94,23563.40
73170.47,22566.57
72620.28,23236.91
72070.73,23216.72
71552.71,21890.88
71013.59,22789.45
70473.49,22837.38
69943.44,22418.37
69392.44,23311.61
68846.45,23106.46
68331.19,21812.22
67802.10,22404.05
67251.70,23313.03
66712.07,22727.33
66180.94,22509.98
65605.91,24378.21
65115.95,20777.45
64515.48,25471.31
64106.50,17352.91
63477.13,26712.25
62904.92,24293.93
62379.98,22293.59
61905.17,20170.27
61280.32,26551.69
60815.40,19761.99
60274.54,22995.89
59759.24,21915.85
59232.11,22425.07
58731.05,21322.31
58172.82,23761.79
57673.99,21239.49
57140.06,22740.12
56715.46,18088.84
56193.54,22240.51
55577.86,26244.28
55079.28,21259.10
54560.68,22118.86
54075.30,20708.03
53543.42,22698.02
53070.31,20195.63
52550.56,22192.52
52010.79,23054.11
51493.71,22091.81
51013.52,18689.51
50582.58,18420.80
50080.10,21484.84
49634.63,19052.08
49165.28,20078.31
48739.88,18202.88
48313.17,18263.44
47880.90,18505.56
47466.04,17764.58
47048.76,17872.38
46643.38,17366.59
46219.42,18166.57
45826.15,16855.63
45414.64,17641.53
45032.03,16406.02
44624.86,17462.69
