height,D_DT_geo
79085.22,22352.26
78571.11,22615.86
78067.91,22142.84
77556.53,22509.48
77111.06,19613.84
76430.97,29953.61
76032.91,17537.90
75538.56,21786.13
75018.01,22947.93
74528.72,21576.14
74028.75,22053.52
73521.22,22393.90
73006.13,22734.30
72506.22,22071.09
72018.17,21553.53
71504.46,22693.85
70983.26,23032.06
70484.03,22068.08
69969.88,22734.22
69456.09,22725.22
68971.57,21437.30
68467.08,22327.42
67961.45,22384.79
67465.02,21984.23
66948.72,22870.83
66436.89,22680.30
65953.65,21419.75
65457.22,22010.87
64940.56,22914.58
64433.78,22349.43
63934.77,22145.96
63394.25,23995.47
62933.50,20460.69
62368.56,25094.85
61983.63,17103.92
61390.99,26340.84
60851.92,23968.64
60357.15,22005.58
59909.44,19918.34
59319.98,26232.60
58881.19,19533.75
58370.52,22740.27
57883.77,21682.20
57385.62,22196.07
56911.90,21114.04
56383.90,23540.57
55911.88,21051.46
55406.43,22548.98
55004.31,17944.31
54509.83,22071.93
53926.24,26058.32
53453.43,21118.75
52961.42,21982.63
52500.73,20589.54
51995.69,22578.21
51546.27,20097.89
51052.34,22094.73
50539.16,22963.21
50047.32,22014.91
49590.38,18632.62
49180.16,18372.08
48701.64,21436.82
48277.25,19017.43
47829.94,20049.86
47424.36,18184.25
47017.38,18251.60
46604.96,18500.57
46209.00,17766.42
45810.59,17880.80
45423.41,17381.08
45018.35,18188.39
44642.47,16881.96
44249.03,17675.38
43883.10,16443.27
43493.55,17508.45
