height,D_DT_geo
82640.67,23064.17
82081.23,23323.23
81533.95,22822.82
80978.07,23187.95
80494.08,20194.53
79755.64,30821.60
79323.66,18035.55
78787.44,22393.49
78223.10,23574.69
77692.94,22153.29
77151.49,22631.28
76602.13,22968.02
76044.90,23304.20
75504.38,22611.91
74976.96,22069.83
74422.09,23224.83
73859.44,23557.72
73320.79,22559.24
72766.35,23227.43
72212.59,23205.28
71690.65,21878.29
71147.48,22774.49
70603.37,22820.49
70069.44,22399.94
69514.44,23290.50
68964.53,23083.59
68445.61,21788.84
67912.80,22378.24
67358.58,23284.23
66815.25,22697.34
66280.52,22478.43
65701.63,24341.95
65208.42,20744.84
64604.02,25429.20
64192.40,17322.86
63559.01,26663.86
62983.19,24247.66
62454.99,22249.25
61977.26,20128.59
61348.62,26494.57
60880.91,19717.81
60336.86,22942.70
59818.55,21863.37
59288.39,22369.56
58784.47,21267.84
58223.11,23699.14
57721.53,21181.75
57184.70,22676.49
56757.81,18036.88
56233.12,22175.00
55614.22,26164.67
55113.08,21192.77
54591.85,22048.11
54104.04,20640.18
53569.54,22621.87
53094.14,20126.30
52571.91,22114.63
52029.61,22971.31
51510.14,22010.65
51027.76,18619.41
50594.90,18350.40
50090.20,21401.18
49642.80,18976.50
49171.45,19997.22
48744.26,18128.11
48315.78,18187.21
47881.75,18427.09
47465.22,17688.08
47046.28,17794.27
46639.32,17289.57
46213.74,18084.84
45818.99,16778.73
45405.94,17559.94
45021.93,16329.13
44613.30,17379.78
