height,D_DT_geo
86760.03,22451.61
86224.89,22572.27
85712.42,21622.10
85181.39,22411.30
84630.25,23267.20
84118.55,21607.96
83576.56,22893.32
83032.24,22998.78
82509.08,22111.00
81953.73,23478.21
81435.78,21903.48
80912.29,22143.77
80363.24,23231.76
79849.27,21753.53
79275.81,24278.53
78780.87,20960.65
78241.98,22828.12
77696.77,23102.17
77172.96,22202.04
76650.80,22138.40
76107.23,23052.78
75590.39,21925.73
75017.04,24329.60
74544.89,20041.41
73984.23,23804.82
73489.42,21014.80
72919.34,24218.91
72381.53,22854.68
