height,D_DT_geo
88037.51,22895.11
87483.41,23012.33
86952.91,22038.17
86403.33,22836.91
85833.08,23703.00
85303.77,22007.13
84743.28,23310.42
84180.51,23411.78
83639.75,22502.36
83065.87,23887.66
82530.77,22279.80
81990.08,22518.65
81423.14,23619.05
80892.55,22110.61
80300.70,24670.69
79790.01,21293.82
79234.10,23185.29
78671.83,23457.59
78131.76,22537.89
77593.53,22467.71
77033.36,23389.77
76500.87,22240.64
75910.32,24672.65
75424.11,20318.96
74846.90,24128.56
74337.62,21295.26
73751.01,24535.91
73197.75,23147.73
