height,D_DT_geo
129735.77,45789.06
128055.17,45408.62
126467.01,42919.87
124842.83,43902.10
123179.80,44961.99
121656.07,41204.07
120063.02,43087.09
118484.28,42708.64
116986.53,40525.51
115417.27,42469.04
113972.46,39108.39
112530.29,39044.45
111036.84,40440.12
109656.25,37390.81
108135.39,41197.57
106839.01,35123.42
105444.32,37793.28
104050.81,37768.17
102728.25,35851.11
101425.47,35321.47
100085.51,36335.48
98826.52,34145.43
97446.83,37425.71
96323.75,30469.55
95005.27,35776.46
93855.07,31215.39
92545.20,35554.46
91324.25,33146.17
