height,D_DT_geo
64712.63,21394.94
64212.01,22241.69
63693.68,23035.39
63219.72,21070.34
62670.80,24410.20
62168.89,22326.92
61677.47,21866.78
61168.30,22663.73
60679.72,21753.66
60168.23,22780.96
59637.61,23640.68
59152.50,21619.75
58147.21,44822.27
57658.10,21818.25
57132.14,23468.78
56642.36,21861.73
56120.98,23279.40
55617.82,22472.68
55269.40,15566.05
54634.52,28371.73
53632.39,44807.08
53146.44,21737.82
52714.55,19324.72
52202.70,22909.47
51729.29,21195.52
51218.49,22876.65
50750.18,20980.23
50226.08,23486.22
