height,D_DT_geo
66499.81,21465.15
65972.26,22305.54
65426.28,23091.71
64927.21,21113.11
64349.46,24449.33
63821.40,22352.92
63304.58,21883.16
62769.31,22671.25
62255.88,21751.83
61718.59,22769.54
61161.43,23618.55
60652.27,21590.36
59597.75,44733.51
59084.99,21761.46
58533.82,23397.79
58020.77,21786.36
57474.83,23189.34
56948.19,22376.17
56583.62,15493.69
55919.59,28228.25
54872.11,44550.00
54364.47,21599.67
53913.47,19194.54
53379.16,22746.17
52885.17,21035.78
52352.37,22694.90
51864.08,20805.03
51317.84,23280.43
