height,D_DT_geo
66854.56,21087.82
66309.03,21903.97
65744.68,22665.82
65229.04,20714.68
64632.35,23977.15
64087.21,21911.11
63553.91,21441.28
63001.77,22203.70
62472.40,21293.91
61918.65,22280.42
61344.66,23100.63
60820.34,21107.50
59735.09,43704.52
59207.70,21246.97
58641.06,22834.46
58113.81,21252.37
57553.00,22610.96
57012.24,21808.30
56638.03,15094.85
55956.71,27489.78
54882.67,43353.53
54362.47,21005.91
53900.48,18659.42
53353.38,22102.92
52847.75,20432.11
52302.62,22034.16
51803.22,20190.68
51244.78,22583.22
