height,D_DT_geo
66595.43,21400.96
66064.31,22237.04
65514.68,23018.85
65012.32,21044.78
64430.79,24368.14
63899.33,22276.76
63379.23,21806.82
62840.58,22590.30
62323.97,21672.38
61783.38,22684.50
61222.85,23528.32
60710.64,21506.08
59649.95,44553.42
59134.24,21671.19
58579.95,23298.77
58064.02,21692.35
57515.08,23087.36
56985.57,22275.89
56619.05,15423.17
55951.51,28097.49
54898.63,44337.67
54388.42,21494.10
53935.17,19099.28
53398.24,22631.53
52901.87,20928.06
52366.53,22576.86
51875.95,20695.15
51327.19,23155.59
