height,D_DT_geo
75978.71,23239.41
74833.85,24050.52
73732.93,23141.54
72580.82,24231.68
71526.91,22179.33
70428.52,23128.62
69318.82,23380.52
68244.62,22645.97
67161.11,22855.21
66099.54,22405.11
64995.40,23317.25
64162.62,17595.88
62665.34,31655.87
61878.29,16650.33
60684.97,25258.44
59679.40,21297.21
58555.16,23311.28
57504.14,22285.79
56496.98,21367.49
55425.42,22746.81
54404.65,21681.00
53423.89,20842.57
52409.84,21561.64
51439.44,20644.99
50492.15,20163.65
49595.98,19085.36
48695.20,19192.91
47816.75,18726.42
47027.16,16839.89
46179.40,18088.47
45330.87,18113.65
