height,D_DT_geo
75475.63,23223.08
74356.87,24045.25
73280.54,23147.65
72153.65,24249.83
71122.35,22206.49
70047.04,23167.69
68960.17,23431.18
67907.59,22705.74
66845.42,22926.22
65804.31,22485.15
64720.96,23411.52
63903.53,17674.44
62433.15,31813.26
61659.87,16741.41
60486.97,25407.54
59498.14,21433.17
58392.15,23470.96
57357.72,22449.08
56366.05,21533.70
55310.51,22934.14
54304.56,21869.54
53337.65,21033.02
52337.51,21768.14
51380.02,20851.76
50444.98,20374.15
49560.05,19292.39
48670.25,19408.75
47802.18,18944.41
47021.65,17042.15
46183.35,18312.32
45343.98,18344.64
