height,D_DT_geo
76139.50,23242.52
74985.68,24049.66
73876.30,23136.81
72715.54,24222.62
71653.89,22167.36
70547.60,23112.38
69430.09,23360.22
68348.50,22622.59
67257.70,22827.89
66189.17,22374.71
65077.95,23281.80
64239.95,17566.56
62733.54,31597.56
61941.81,16616.79
60741.58,25203.79
59730.34,21247.59
58599.94,23253.21
57543.32,22226.62
56530.95,21307.43
55454.00,22679.30
54428.25,21613.22
53442.85,20774.26
52424.15,21487.72
51449.43,20571.10
50498.06,20088.56
49598.15,19011.62
48693.73,19116.14
47811.83,18648.99
47019.24,16768.13
46168.36,18009.14
45316.80,18031.88
